date,count,username,secretion_type
2023-02-06,1,HelloImNavy,"0"
2023-02-06,2,Jotajotahs,"0"
2023-02-06,1,Thybak,"0"
2023-02-06,2,Zeonx91,"0"
2023-02-06,1,esloooz,"0"
2023-02-06,2,quimikuaxh,"0"
2023-02-07,1,AntiaMsv,"0"
2023-02-07,1,HelloImNavy,"0"
2023-02-07,2,Thybak,"0"
2023-02-07,2,Zeonx91,"0"
2023-02-07,1,esloooz,"0"
2023-02-07,1,quimikuaxh,"0"
2023-02-08,3,AntiaMsv,"0"
2023-02-08,1,HelloImNavy,"0"
2023-02-08,2,Jotajotahs,"0"
2023-02-08,1,Thybak,"0"
2023-02-08,2,Zeonx91,"0"
2023-02-08,1,esloooz,"0"
2023-02-08,1,quimikuaxh,"0"
2023-02-09,1,AntiaMsv,"0"
2023-02-09,1,HelloImNavy,"0"
2023-02-09,2,Jotajotahs,"0"
2023-02-09,1,Thybak,"0"
2023-02-09,2,Zeonx91,"0"
2023-02-09,2,esloooz,"0"
2023-02-09,1,quimikuaxh,"0"
2023-02-10,1,HelloImNavy,"0"
2023-02-10,1,Jotajotahs,"0"
2023-02-10,1,Thybak,"0"
2023-02-10,1,Zeonx91,"0"
2023-02-10,1,esloooz,"0"
2023-02-10,1,quimikuaxh,"0"
2023-02-11,1,HelloImNavy,"0"
2023-02-11,2,Jotajotahs,"0"
2023-02-11,2,Thybak,"0"
2023-02-11,2,Zeonx91,"0"
2023-02-11,1,esloooz,"0"
2023-02-11,1,quimikuaxh,"0"
2023-02-12,1,AntiaMsv,"0"
2023-02-12,1,HelloImNavy,"0"
2023-02-12,2,Jotajotahs,"0"
2023-02-12,1,Zeonx91,"0"
2023-02-12,2,esloooz,"0"
2023-02-12,1,quimikuaxh,"0"
2023-02-13,1,AntiaMsv,"0"
2023-02-13,1,HelloImNavy,"0"
2023-02-13,2,Jotajotahs,"0"
2023-02-13,2,Thybak,"0"
2023-02-13,2,esloooz,"0"
2023-02-13,3,quimikuaxh,"0"
2023-02-14,1,AntiaMsv,"0"
2023-02-14,1,HelloImNavy,"0"
2023-02-14,1,Jotajotahs,"0"
2023-02-14,1,Thybak,"0"
2023-02-14,3,Zeonx91,"0"
2023-02-14,1,esloooz,"0"
2023-02-14,2,quimikuaxh,"0"
2023-02-15,1,AntiaMsv,"0"
2023-02-15,2,HelloImNavy,"0"
2023-02-15,3,Jotajotahs,"0"
2023-02-15,2,Thybak,"0"
2023-02-15,1,Zeonx91,"0"
2023-02-15,2,esloooz,"0"
2023-02-15,2,quimikuaxh,"0"
2023-02-16,1,HelloImNavy,"0"
2023-02-16,2,Jotajotahs,"0"
2023-02-16,1,Thybak,"0"
2023-02-16,2,Zeonx91,"0"
2023-02-16,2,esloooz,"0"
2023-02-16,1,quimikuaxh,"0"
2023-02-17,1,AntiaMsv,"0"
2023-02-17,1,HelloImNavy,"0"
2023-02-17,2,Jotajotahs,"0"
2023-02-17,1,Thybak,"0"
2023-02-17,1,Zeonx91,"0"
2023-02-17,2,esloooz,"0"
2023-02-17,2,quimikuaxh,"0"
2023-02-18,1,AntiaMsv,"0"
2023-02-18,1,HelloImNavy,"0"
2023-02-18,1,Jotajotahs,"0"
2023-02-18,2,Thybak,"0"
2023-02-18,2,Zeonx91,"0"
2023-02-18,1,esloooz,"0"
2023-02-18,1,quimikuaxh,"0"
2023-02-19,1,AntiaMsv,"0"
2023-02-19,1,HelloImNavy,"0"
2023-02-19,2,Jotajotahs,"0"
2023-02-19,2,Thybak,"0"
2023-02-19,1,Zeonx91,"0"
2023-02-19,2,esloooz,"0"
2023-02-19,2,quimikuaxh,"0"
2023-02-20,1,HelloImNavy,"0"
2023-02-20,1,Jotajotahs,"0"
2023-02-20,2,Thybak,"0"
2023-02-20,2,Zeonx91,"0"
2023-02-20,1,esloooz,"0"
2023-02-20,2,quimikuaxh,"0"
2023-02-21,1,AntiaMsv,"0"
2023-02-21,1,HelloImNavy,"0"
2023-02-21,2,Jotajotahs,"0"
2023-02-21,1,Thybak,"0"
2023-02-21,2,Zeonx91,"0"
2023-02-21,2,esloooz,"0"
2023-02-21,2,quimikuaxh,"0"
2023-02-22,2,AntiaMsv,"0"
2023-02-22,1,HelloImNavy,"0"
2023-02-22,2,Jotajotahs,"0"
2023-02-22,2,Thybak,"0"
2023-02-22,2,Zeonx91,"0"
2023-02-22,1,esloooz,"0"
2023-02-22,1,quimikuaxh,"0"
2023-02-23,1,Jotajotahs,"0"
2023-02-23,1,Thybak,"0"
2023-02-23,2,Zeonx91,"0"
2023-02-23,1,quimikuaxh,"0"
2023-02-24,1,HelloImNavy,"0"
2023-02-24,1,Jotajotahs,"0"
2023-02-24,1,Thybak,"0"
2023-02-24,2,Zeonx91,"0"
2023-02-24,2,esloooz,"0"
2023-02-24,2,quimikuaxh,"0"
2023-02-25,2,AntiaMsv,"0"
2023-02-25,2,Jotajotahs,"0"
2023-02-25,1,Thybak,"0"
2023-02-25,1,esloooz,"0"
2023-02-25,1,quimikuaxh,"0"
2023-02-26,1,AntiaMsv,"0"
2023-02-26,1,HelloImNavy,"0"
2023-02-26,1,Jotajotahs,"0"
2023-02-26,1,Thybak,"0"
2023-02-26,1,Zeonx91,"0"
2023-02-26,1,quimikuaxh,"0"
2023-02-27,2,AntiaMsv,"0"
2023-02-27,1,HelloImNavy,"0"
2023-02-27,1,Jotajotahs,"0"
2023-02-27,1,Thybak,"0"
2023-02-27,2,Zeonx91,"0"
2023-02-27,1,esloooz,"0"
2023-02-27,2,quimikuaxh,"0"
2023-02-28,1,AntiaMsv,"0"
2023-02-28,1,HelloImNavy,"0"
2023-02-28,3,Jotajotahs,"0"
2023-02-28,1,Thybak,"0"
2023-02-28,1,Zeonx91,"0"
2023-02-28,1,esloooz,"0"
2023-02-28,1,quimikuaxh,"0"
2023-03-01,1,AntiaMsv,"0"
2023-03-01,1,HelloImNavy,"0"
2023-03-01,1,Jotajotahs,"0"
2023-03-01,1,Thybak,"0"
2023-03-01,2,Zeonx91,"0"
2023-03-01,2,esloooz,"0"
2023-03-01,1,quimikuaxh,"0"
2023-03-02,1,AntiaMsv,"0"
2023-03-02,1,Jotajotahs,"0"
2023-03-02,1,Thybak,"0"
2023-03-02,3,Zeonx91,"0"
2023-03-02,1,esloooz,"0"
2023-03-02,1,quimikuaxh,"0"
2023-03-03,1,HelloImNavy,"0"
2023-03-03,1,Jotajotahs,"0"
2023-03-03,1,Thybak,"0"
2023-03-03,2,Zeonx91,"0"
2023-03-03,1,esloooz,"0"
2023-03-03,2,quimikuaxh,"0"
2023-03-04,1,AntiaMsv,"0"
2023-03-04,1,HelloImNavy,"0"
2023-03-04,1,Jotajotahs,"0"
2023-03-04,2,Thybak,"0"
2023-03-04,1,Zeonx91,"0"
2023-03-04,2,quimikuaxh,"0"
2023-03-05,1,HelloImNavy,"0"
2023-03-05,2,Jotajotahs,"0"
2023-03-05,1,Thybak,"0"
2023-03-05,1,Zeonx91,"0"
2023-03-05,2,esloooz,"0"
2023-03-05,1,quimikuaxh,"0"
2023-03-06,1,AntiaMsv,"0"
2023-03-06,1,HelloImNavy,"0"
2023-03-06,1,Jotajotahs,"0"
2023-03-06,2,Thybak,"0"
2023-03-06,2,Zeonx91,"0"
2023-03-06,2,esloooz,"0"
2023-03-06,1,quimikuaxh,"0"
2023-03-07,1,Jotajotahs,"0"
2023-03-07,2,Thybak,"0"
2023-03-07,1,Zeonx91,"0"
2023-03-07,1,esloooz,"0"
2023-03-07,2,quimikuaxh,"0"
2023-03-08,2,AntiaMsv,"0"
2023-03-08,1,HelloImNavy,"0"
2023-03-08,2,Jotajotahs,"0"
2023-03-08,2,Zeonx91,"0"
2023-03-08,1,esloooz,"0"
2023-03-08,2,quimikuaxh,"0"
2023-03-09,1,AntiaMsv,"0"
2023-03-09,1,HelloImNavy,"0"
